hotel_name,review_summary,review_p1,review_p2,score,Location_score,Cleanliness_score,Service_score,Value_score
Sheraton Grand Bangalore Hotel at Brigade Gateway,birthday bash,Had an excellent hospitality and care at Sheraton by manager debolina...she is very helpful kind and took extra care of all the things we needed and made awesome arrangement  for birthday...we had lots of fun....and the hotel too was awesome...but specially just wanted to say thanks to debolina  for being really good to us  and making our stay so comfortable during our entire stay. She is fantastic....was very happy ...would love to visit again .....,,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Courtyard Bengaluru Outer Ring Road,Art therapy Workshop at BG's pool side restaurant ,"Being in Courtyard premises is always like being at home. Fahaad, the HK manager invited me to do a 4 hours workshop at the BG's restaurant on the occasion of Holi. Fahaad made sure to arrange everything I need to conduct a successful event. It was quite exciting to see the group participation of the guests. The whole families were enjoying the Spontaneous Art therapy without having to think of how it looks. They enjoyed the process and improved their serotonin levels😊. Not only guest but staff also enjoyed the Art making process and one of them said ""its one of the best time spent at workplace"". Seeing happy faces make me happy that I added value in lives. The property still have the same warmth like 4 years ago. It's all happening, I saw the guests were enjoying the music in",…,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
JW Marriott Hotel Bengaluru,Best Front office team ....,"Thank you so much JW Marriott Bangalore for giving me such a nice and good services this hotel is very amazing in terms of services and standard of the hotel, best part of this hotel is front of his team is really active and very helpful supportive during your stay give you 100% attention,  JW Marriott Bangalore is the best hotel in JW Marriott group in India, this hotel is best in services staff is really good standard is really helpful, location of the hotel is very near to airport and near to mall which gives you very e good trip for one or two days hope to see you soon guys have a beautiful year ahead.  Special thanks to Isha Sharma for such a warm and courteous welcome and good hospitality you are such a bright future for this hotel",…,4.5,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
The Ritz-Carlton,"great stay, outstanding experience","First time staying in a Ritz Carlton, ever. Taking advantage of a good offer.  Great service, very well trained staff, very welcoming.  Breakfast selection was outstanding, high attention to detail.  Restaurant for breakfast, led by Sandeep Kalra, Executive Chef, was fantastic.  Room amenities were good, size of the our room was generous.  The only ""but"" is that 2 out of 4 lifts did not operate during the weekend we stayed and that service staff also used same lifts as guests.",…,4.5,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Bengaluru Marriott Hotel Whitefield,Excellent property . Staff extremely cordial and helpful in all aspects,Staff is extremely cordial and helpful in all aspects.  The GM of the hotel reaches out personally to the guest to help and seek feedback. The same flows right to the last man in the hotel staff. The chef's are extremely good and flexible.,,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Sheraton Grand Bangalore Hotel at Brigade Gateway,birthday bash,Had an excellent hospitality and care at Sheraton by manager debolina...she is very helpful kind and took extra care of all the things we needed and made awesome arrangement  for birthday...we had lots of fun....and the hotel too was awesome...but specially just wanted to say thanks to debolina  for being really good to us  and making our stay so comfortable during our entire stay. She is fantastic....was very happy ...would love to visit again .....,,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Courtyard Bengaluru Outer Ring Road,Art therapy Workshop at BG's pool side restaurant ,"Being in Courtyard premises is always like being at home. Fahaad, the HK manager invited me to do a 4 hours workshop at the BG's restaurant on the occasion of Holi. Fahaad made sure to arrange everything I need to conduct a successful event. It was quite exciting to see the group participation of the guests. The whole families were enjoying the Spontaneous Art therapy without having to think of how it looks. They enjoyed the process and improved their serotonin levels😊. Not only guest but staff also enjoyed the Art making process and one of them said ""its one of the best time spent at workplace"". Seeing happy faces make me happy that I added value in lives. The property still have the same warmth like 4 years ago. It's all happening, I saw the guests were enjoying the music in",…,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
JW Marriott Hotel Bengaluru,Best Front office team ....,"Thank you so much JW Marriott Bangalore for giving me such a nice and good services this hotel is very amazing in terms of services and standard of the hotel, best part of this hotel is front of his team is really active and very helpful supportive during your stay give you 100% attention,  JW Marriott Bangalore is the best hotel in JW Marriott group in India, this hotel is best in services staff is really good standard is really helpful, location of the hotel is very near to airport and near to mall which gives you very e good trip for one or two days hope to see you soon guys have a beautiful year ahead.  Special thanks to Isha Sharma for such a warm and courteous welcome and good hospitality you are such a bright future for this hotel",…,4.5,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
The Ritz-Carlton,"great stay, outstanding experience","First time staying in a Ritz Carlton, ever. Taking advantage of a good offer.  Great service, very well trained staff, very welcoming.  Breakfast selection was outstanding, high attention to detail.  Restaurant for breakfast, led by Sandeep Kalra, Executive Chef, was fantastic.  Room amenities were good, size of the our room was generous.  The only ""but"" is that 2 out of 4 lifts did not operate during the weekend we stayed and that service staff also used same lifts as guests.",…,4.5,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Bengaluru Marriott Hotel Whitefield,Excellent property . Staff extremely cordial and helpful in all aspects,Staff is extremely cordial and helpful in all aspects.  The GM of the hotel reaches out personally to the guest to help and seek feedback. The same flows right to the last man in the hotel staff. The chef's are extremely good and flexible.,,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Sheraton Grand Bangalore Hotel at Brigade Gateway,birthday bash,Had an excellent hospitality and care at Sheraton by manager debolina...she is very helpful kind and took extra care of all the things we needed and made awesome arrangement  for birthday...we had lots of fun....and the hotel too was awesome...but specially just wanted to say thanks to debolina  for being really good to us  and making our stay so comfortable during our entire stay. She is fantastic....was very happy ...would love to visit again .....,,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Courtyard Bengaluru Outer Ring Road,Art therapy Workshop at BG's pool side restaurant ,"Being in Courtyard premises is always like being at home. Fahaad, the HK manager invited me to do a 4 hours workshop at the BG's restaurant on the occasion of Holi. Fahaad made sure to arrange everything I need to conduct a successful event. It was quite exciting to see the group participation of the guests. The whole families were enjoying the Spontaneous Art therapy without having to think of how it looks. They enjoyed the process and improved their serotonin levels😊. Not only guest but staff also enjoyed the Art making process and one of them said ""its one of the best time spent at workplace"". Seeing happy faces make me happy that I added value in lives. The property still have the same warmth like 4 years ago. It's all happening, I saw the guests were enjoying the music in",…,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
JW Marriott Hotel Bengaluru,Best Front office team ....,"Thank you so much JW Marriott Bangalore for giving me such a nice and good services this hotel is very amazing in terms of services and standard of the hotel, best part of this hotel is front of his team is really active and very helpful supportive during your stay give you 100% attention,  JW Marriott Bangalore is the best hotel in JW Marriott group in India, this hotel is best in services staff is really good standard is really helpful, location of the hotel is very near to airport and near to mall which gives you very e good trip for one or two days hope to see you soon guys have a beautiful year ahead.  Special thanks to Isha Sharma for such a warm and courteous welcome and good hospitality you are such a bright future for this hotel",…,4.5,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
The Ritz-Carlton,"great stay, outstanding experience","First time staying in a Ritz Carlton, ever. Taking advantage of a good offer.  Great service, very well trained staff, very welcoming.  Breakfast selection was outstanding, high attention to detail.  Restaurant for breakfast, led by Sandeep Kalra, Executive Chef, was fantastic.  Room amenities were good, size of the our room was generous.  The only ""but"" is that 2 out of 4 lifts did not operate during the weekend we stayed and that service staff also used same lifts as guests.",…,4.5,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Bengaluru Marriott Hotel Whitefield,Excellent property . Staff extremely cordial and helpful in all aspects,Staff is extremely cordial and helpful in all aspects.  The GM of the hotel reaches out personally to the guest to help and seek feedback. The same flows right to the last man in the hotel staff. The chef's are extremely good and flexible.,,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Sheraton Grand Bangalore Hotel at Brigade Gateway,birthday bash,Had an excellent hospitality and care at Sheraton by manager debolina...she is very helpful kind and took extra care of all the things we needed and made awesome arrangement  for birthday...we had lots of fun....and the hotel too was awesome...but specially just wanted to say thanks to debolina  for being really good to us  and making our stay so comfortable during our entire stay. She is fantastic....was very happy ...would love to visit again .....,,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Courtyard Bengaluru Outer Ring Road,Art therapy Workshop at BG's pool side restaurant ,"Being in Courtyard premises is always like being at home. Fahaad, the HK manager invited me to do a 4 hours workshop at the BG's restaurant on the occasion of Holi. Fahaad made sure to arrange everything I need to conduct a successful event. It was quite exciting to see the group participation of the guests. The whole families were enjoying the Spontaneous Art therapy without having to think of how it looks. They enjoyed the process and improved their serotonin levels😊. Not only guest but staff also enjoyed the Art making process and one of them said ""its one of the best time spent at workplace"". Seeing happy faces make me happy that I added value in lives. The property still have the same warmth like 4 years ago. It's all happening, I saw the guests were enjoying the music in",…,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
JW Marriott Hotel Bengaluru,Best Front office team ....,"Thank you so much JW Marriott Bangalore for giving me such a nice and good services this hotel is very amazing in terms of services and standard of the hotel, best part of this hotel is front of his team is really active and very helpful supportive during your stay give you 100% attention,  JW Marriott Bangalore is the best hotel in JW Marriott group in India, this hotel is best in services staff is really good standard is really helpful, location of the hotel is very near to airport and near to mall which gives you very e good trip for one or two days hope to see you soon guys have a beautiful year ahead.  Special thanks to Isha Sharma for such a warm and courteous welcome and good hospitality you are such a bright future for this hotel",…,4.5,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
The Ritz-Carlton,"great stay, outstanding experience","First time staying in a Ritz Carlton, ever. Taking advantage of a good offer.  Great service, very well trained staff, very welcoming.  Breakfast selection was outstanding, high attention to detail.  Restaurant for breakfast, led by Sandeep Kalra, Executive Chef, was fantastic.  Room amenities were good, size of the our room was generous.  The only ""but"" is that 2 out of 4 lifts did not operate during the weekend we stayed and that service staff also used same lifts as guests.",…,4.5,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Bengaluru Marriott Hotel Whitefield,Excellent property . Staff extremely cordial and helpful in all aspects,Staff is extremely cordial and helpful in all aspects.  The GM of the hotel reaches out personally to the guest to help and seek feedback. The same flows right to the last man in the hotel staff. The chef's are extremely good and flexible.,,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Sheraton Grand Bangalore Hotel at Brigade Gateway,birthday bash,Had an excellent hospitality and care at Sheraton by manager debolina...she is very helpful kind and took extra care of all the things we needed and made awesome arrangement  for birthday...we had lots of fun....and the hotel too was awesome...but specially just wanted to say thanks to debolina  for being really good to us  and making our stay so comfortable during our entire stay. She is fantastic....was very happy ...would love to visit again .....,,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Courtyard Bengaluru Outer Ring Road,Art therapy Workshop at BG's pool side restaurant ,"Being in Courtyard premises is always like being at home. Fahaad, the HK manager invited me to do a 4 hours workshop at the BG's restaurant on the occasion of Holi. Fahaad made sure to arrange everything I need to conduct a successful event. It was quite exciting to see the group participation of the guests. The whole families were enjoying the Spontaneous Art therapy without having to think of how it looks. They enjoyed the process and improved their serotonin levels😊. Not only guest but staff also enjoyed the Art making process and one of them said ""its one of the best time spent at workplace"". Seeing happy faces make me happy that I added value in lives. The property still have the same warmth like 4 years ago. It's all happening, I saw the guests were enjoying the music in",…,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
The Ritz-Carlton,"great stay, outstanding experience","First time staying in a Ritz Carlton, ever. Taking advantage of a good offer.  Great service, very well trained staff, very welcoming.  Breakfast selection was outstanding, high attention to detail.  Restaurant for breakfast, led by Sandeep Kalra, Executive Chef, was fantastic.  Room amenities were good, size of the our room was generous.  The only ""but"" is that 2 out of 4 lifts did not operate during the weekend we stayed and that service staff also used same lifts as guests.",…,4.5,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Bengaluru Marriott Hotel Whitefield,Excellent property . Staff extremely cordial and helpful in all aspects,Staff is extremely cordial and helpful in all aspects.  The GM of the hotel reaches out personally to the guest to help and seek feedback. The same flows right to the last man in the hotel staff. The chef's are extremely good and flexible.,,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Sheraton Grand Bangalore Hotel at Brigade Gateway,birthday bash,Had an excellent hospitality and care at Sheraton by manager debolina...she is very helpful kind and took extra care of all the things we needed and made awesome arrangement  for birthday...we had lots of fun....and the hotel too was awesome...but specially just wanted to say thanks to debolina  for being really good to us  and making our stay so comfortable during our entire stay. She is fantastic....was very happy ...would love to visit again .....,,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Courtyard Bengaluru Outer Ring Road,Art therapy Workshop at BG's pool side restaurant ,"Being in Courtyard premises is always like being at home. Fahaad, the HK manager invited me to do a 4 hours workshop at the BG's restaurant on the occasion of Holi. Fahaad made sure to arrange everything I need to conduct a successful event. It was quite exciting to see the group participation of the guests. The whole families were enjoying the Spontaneous Art therapy without having to think of how it looks. They enjoyed the process and improved their serotonin levels😊. Not only guest but staff also enjoyed the Art making process and one of them said ""its one of the best time spent at workplace"". Seeing happy faces make me happy that I added value in lives. The property still have the same warmth like 4 years ago. It's all happening, I saw the guests were enjoying the music in",…,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
The Ritz-Carlton,"great stay, outstanding experience","First time staying in a Ritz Carlton, ever. Taking advantage of a good offer.  Great service, very well trained staff, very welcoming.  Breakfast selection was outstanding, high attention to detail.  Restaurant for breakfast, led by Sandeep Kalra, Executive Chef, was fantastic.  Room amenities were good, size of the our room was generous.  The only ""but"" is that 2 out of 4 lifts did not operate during the weekend we stayed and that service staff also used same lifts as guests.",…,4.5,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Bengaluru Marriott Hotel Whitefield,Excellent property . Staff extremely cordial and helpful in all aspects,Staff is extremely cordial and helpful in all aspects.  The GM of the hotel reaches out personally to the guest to help and seek feedback. The same flows right to the last man in the hotel staff. The chef's are extremely good and flexible.,,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Sheraton Grand Bangalore Hotel at Brigade Gateway,birthday bash,Had an excellent hospitality and care at Sheraton by manager debolina...she is very helpful kind and took extra care of all the things we needed and made awesome arrangement  for birthday...we had lots of fun....and the hotel too was awesome...but specially just wanted to say thanks to debolina  for being really good to us  and making our stay so comfortable during our entire stay. She is fantastic....was very happy ...would love to visit again .....,,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Courtyard Bengaluru Outer Ring Road,Art therapy Workshop at BG's pool side restaurant ,"Being in Courtyard premises is always like being at home. Fahaad, the HK manager invited me to do a 4 hours workshop at the BG's restaurant on the occasion of Holi. Fahaad made sure to arrange everything I need to conduct a successful event. It was quite exciting to see the group participation of the guests. The whole families were enjoying the Spontaneous Art therapy without having to think of how it looks. They enjoyed the process and improved their serotonin levels😊. Not only guest but staff also enjoyed the Art making process and one of them said ""its one of the best time spent at workplace"". Seeing happy faces make me happy that I added value in lives. The property still have the same warmth like 4 years ago. It's all happening, I saw the guests were enjoying the music in",…,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
The Ritz-Carlton,"great stay, outstanding experience","First time staying in a Ritz Carlton, ever. Taking advantage of a good offer.  Great service, very well trained staff, very welcoming.  Breakfast selection was outstanding, high attention to detail.  Restaurant for breakfast, led by Sandeep Kalra, Executive Chef, was fantastic.  Room amenities were good, size of the our room was generous.  The only ""but"" is that 2 out of 4 lifts did not operate during the weekend we stayed and that service staff also used same lifts as guests.",…,4.5,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Bengaluru Marriott Hotel Whitefield,Excellent property . Staff extremely cordial and helpful in all aspects,Staff is extremely cordial and helpful in all aspects.  The GM of the hotel reaches out personally to the guest to help and seek feedback. The same flows right to the last man in the hotel staff. The chef's are extremely good and flexible.,,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Sheraton Grand Bangalore Hotel at Brigade Gateway,birthday bash,Had an excellent hospitality and care at Sheraton by manager debolina...she is very helpful kind and took extra care of all the things we needed and made awesome arrangement  for birthday...we had lots of fun....and the hotel too was awesome...but specially just wanted to say thanks to debolina  for being really good to us  and making our stay so comfortable during our entire stay. She is fantastic....was very happy ...would love to visit again .....,,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Courtyard Bengaluru Outer Ring Road,Art therapy Workshop at BG's pool side restaurant ,"Being in Courtyard premises is always like being at home. Fahaad, the HK manager invited me to do a 4 hours workshop at the BG's restaurant on the occasion of Holi. Fahaad made sure to arrange everything I need to conduct a successful event. It was quite exciting to see the group participation of the guests. The whole families were enjoying the Spontaneous Art therapy without having to think of how it looks. They enjoyed the process and improved their serotonin levels😊. Not only guest but staff also enjoyed the Art making process and one of them said ""its one of the best time spent at workplace"". Seeing happy faces make me happy that I added value in lives. The property still have the same warmth like 4 years ago. It's all happening, I saw the guests were enjoying the music in",…,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
The Ritz-Carlton,"great stay, outstanding experience","First time staying in a Ritz Carlton, ever. Taking advantage of a good offer.  Great service, very well trained staff, very welcoming.  Breakfast selection was outstanding, high attention to detail.  Restaurant for breakfast, led by Sandeep Kalra, Executive Chef, was fantastic.  Room amenities were good, size of the our room was generous.  The only ""but"" is that 2 out of 4 lifts did not operate during the weekend we stayed and that service staff also used same lifts as guests.",…,4.5,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Bengaluru Marriott Hotel Whitefield,Excellent property . Staff extremely cordial and helpful in all aspects,Staff is extremely cordial and helpful in all aspects.  The GM of the hotel reaches out personally to the guest to help and seek feedback. The same flows right to the last man in the hotel staff. The chef's are extremely good and flexible.,,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Sheraton Grand Bangalore Hotel at Brigade Gateway,birthday bash,Had an excellent hospitality and care at Sheraton by manager debolina...she is very helpful kind and took extra care of all the things we needed and made awesome arrangement  for birthday...we had lots of fun....and the hotel too was awesome...but specially just wanted to say thanks to debolina  for being really good to us  and making our stay so comfortable during our entire stay. She is fantastic....was very happy ...would love to visit again .....,,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Courtyard Bengaluru Outer Ring Road,Art therapy Workshop at BG's pool side restaurant ,"Being in Courtyard premises is always like being at home. Fahaad, the HK manager invited me to do a 4 hours workshop at the BG's restaurant on the occasion of Holi. Fahaad made sure to arrange everything I need to conduct a successful event. It was quite exciting to see the group participation of the guests. The whole families were enjoying the Spontaneous Art therapy without having to think of how it looks. They enjoyed the process and improved their serotonin levels😊. Not only guest but staff also enjoyed the Art making process and one of them said ""its one of the best time spent at workplace"". Seeing happy faces make me happy that I added value in lives. The property still have the same warmth like 4 years ago. It's all happening, I saw the guests were enjoying the music in",…,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
The Ritz-Carlton,"great stay, outstanding experience","First time staying in a Ritz Carlton, ever. Taking advantage of a good offer.  Great service, very well trained staff, very welcoming.  Breakfast selection was outstanding, high attention to detail.  Restaurant for breakfast, led by Sandeep Kalra, Executive Chef, was fantastic.  Room amenities were good, size of the our room was generous.  The only ""but"" is that 2 out of 4 lifts did not operate during the weekend we stayed and that service staff also used same lifts as guests.",…,4.5,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
Courtyard Bengaluru Outer Ring Road,Art therapy Workshop at BG's pool side restaurant ,"Being in Courtyard premises is always like being at home. Fahaad, the HK manager invited me to do a 4 hours workshop at the BG's restaurant on the occasion of Holi. Fahaad made sure to arrange everything I need to conduct a successful event. It was quite exciting to see the group participation of the guests. The whole families were enjoying the Spontaneous Art therapy without having to think of how it looks. They enjoyed the process and improved their serotonin levels😊. Not only guest but staff also enjoyed the Art making process and one of them said ""its one of the best time spent at workplace"". Seeing happy faces make me happy that I added value in lives. The property still have the same warmth like 4 years ago. It's all happening, I saw the guests were enjoying the music in",…,5.0,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
The Ritz-Carlton,"great stay, outstanding experience","First time staying in a Ritz Carlton, ever. Taking advantage of a good offer.  Great service, very well trained staff, very welcoming.  Breakfast selection was outstanding, high attention to detail.  Restaurant for breakfast, led by Sandeep Kalra, Executive Chef, was fantastic.  Room amenities were good, size of the our room was generous.  The only ""but"" is that 2 out of 4 lifts did not operate during the weekend we stayed and that service staff also used same lifts as guests.",…,4.5,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
JW Marriott Hotel Bengaluru,Premium Property of Marriott,Located in the Heart of the new constructed business and entertainment centre with malls and offices adjacent to it this massive property is a premium offering. Due to covid restrictions do apply for the restaurants being open and timings and different services.The Lounge facility is not functional. However everything else is smooth. The front desk has been extremely friendly and assisted with the check-in. Room was with balcony and the same overlooked the beautiful malls inner courtyard and the sunrise was spectacular. Rooms were modern and with bathrooms big enough. The only issue is that due to the traffic regulations in place the access to the place is very roundabout and during peak times consumes a lot of time. Overall an excellent place.,…,4.5,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
JW Marriott Hotel Bengaluru,Premium Property of Marriott,Located in the Heart of the new constructed business and entertainment centre with malls and offices adjacent to it this massive property is a premium offering. Due to covid restrictions do apply for the restaurants being open and timings and different services.The Lounge facility is not functional. However everything else is smooth. The front desk has been extremely friendly and assisted with the check-in. Room was with balcony and the same overlooked the beautiful malls inner courtyard and the sunrise was spectacular. Rooms were modern and with bathrooms big enough. The only issue is that due to the traffic regulations in place the access to the place is very roundabout and during peak times consumes a lot of time. Overall an excellent place.,…,4.5,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
JW Marriott Hotel Bengaluru,Premium Property of Marriott,Located in the Heart of the new constructed business and entertainment centre with malls and offices adjacent to it this massive property is a premium offering. Due to covid restrictions do apply for the restaurants being open and timings and different services.The Lounge facility is not functional. However everything else is smooth. The front desk has been extremely friendly and assisted with the check-in. Room was with balcony and the same overlooked the beautiful malls inner courtyard and the sunrise was spectacular. Rooms were modern and with bathrooms big enough. The only issue is that due to the traffic regulations in place the access to the place is very roundabout and during peak times consumes a lot of time. Overall an excellent place.,…,4.5,"<span class=""ui_bubble_rating bubble_45""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_50""></span>","<span class=""ui_bubble_rating bubble_45""></span>"
